July 9, 2018
3:16 PM
Hot Liquid Setpoint (°C):
0
Cold Liquid Setpoint (°C):
0
Hot Liquid Flowrate (LPM): 
0.0
Cold Liquid Flowrate (LPM):
0.0
Mean Pressure Setpoint (kPa):
0
Load Torque Setpoint (Nm):
0.0
Teknic Motor Setpoint (RPM):
0
Counter data is in units of (Counts). Voltage data is in units of (V).


VI_time      	ctr0	VI_0	VI_1	VI_2	VI_3	VI_4	VI_5	VI_6	VI_7	VI_8	VI_9	VI_10	VI_11	VI_12	VI_13	VI_14	VI_15	VI_16	VI_17	VI_18	VI_19	VI_20	VI_21	VI_22	VI_23	VI_24	VI_25	VI_26	VI_27	VI_28	VI_29	VI_30	VI_31
8195.815939	0.000	4.035	3.425	2.510	1.870	0.965	0.089	-0.796	-1.472	-2.322	-3.154	-4.111	-4.660	-5.422	-6.158	-6.850	-7.514	-8.013	-8.393	-8.856	-9.182	-9.198	-9.552	-9.768	-9.848	-9.818	-9.605	-9.384	-9.126	-8.800	-8.415	-8.099	-7.442
8195.816978	0.000	-0.880	-1.552	-2.491	-3.117	-3.969	-4.756	-5.514	-6.027	-6.680	-7.282	-7.977	-8.234	-8.678	-9.071	-9.397	-9.677	-9.775	-9.740	-9.778	-9.672	-9.252	-9.170	-8.953	-8.606	-8.158	-7.540	-6.930	-6.301	-5.627	-4.917	-4.303	-3.377
8195.817933	0.000	-5.244	-5.775	-6.542	-6.964	-7.584	-8.111	-8.584	-8.789	-9.111	-9.365	-9.695	-9.576	-9.632	-9.630	-9.558	-9.437	-9.136	-8.708	-8.360	-7.879	-7.098	-6.671	-6.129	-5.477	-4.749	-3.876	-3.039	-2.213	-1.373	-0.529	0.184	1.177
8195.818929	0.000	-9.075	-9.204	-9.541	-9.512	-9.660	-9.700	-9.673	-9.370	-9.181	-8.922	-8.743	-8.122	-7.687	-7.209	-6.679	-6.123	-5.411	-4.600	-3.902	-3.104	-2.042	-1.373	-0.629	0.183	1.028	1.973	2.839	3.648	4.428	5.166	5.732	6.534
8195.819929	0.000	-9.720	-9.378	-9.243	-8.743	-8.428	-8.013	-7.544	-6.816	-6.220	-5.578	-5.041	-4.089	-3.356	-2.611	-1.850	-1.099	-0.231	0.697	1.472	2.305	3.362	3.984	4.641	5.326	6.004	6.745	7.370	7.904	8.376	8.777	8.977	9.389
8195.820930	0.000	-7.888	-7.180	-6.697	-5.868	-5.246	-4.548	-3.822	-2.866	-2.072	-1.263	-0.592	0.460	1.259	2.034	2.790	3.500	4.293	5.111	5.742	6.400	7.250	7.636	8.028	8.422	8.786	9.193	9.464	9.628	9.718	9.725	9.526	9.534
8195.821931	0.000	-3.946	-2.985	-2.280	-1.264	-0.489	0.326	1.130	2.129	2.926	3.701	4.300	5.242	5.895	6.489	7.030	7.494	8.009	8.520	8.820	9.123	9.596	9.588	9.572	9.545	9.481	9.452	9.287	9.017	8.676	8.262	7.651	7.262
8195.822918	0.000	1.668	2.660	3.352	4.314	4.992	5.668	6.293	7.073	7.614	8.096	8.369	8.955	9.223	9.407	9.516	9.528	9.576	9.610	9.422	9.233	9.214	8.717	8.217	7.718	7.195	6.726	6.140	5.473	4.763	4.008	3.090	2.428
8195.823915	0.000	6.921	7.642	8.024	8.641	8.941	9.209	9.399	9.719	9.781	9.769	9.534	9.603	9.349	9.010	8.599	8.098	7.644	7.190	6.534	5.898	5.458	4.567	3.707	2.881	2.068	1.347	0.551	-0.283	-1.118	-1.951	-2.903	-3.553
8195.824912	0.000	9.458	9.706	9.601	9.718	9.510	9.266	8.943	8.755	8.316	7.812	7.102	6.713	6.024	5.275	4.483	3.632	2.862	2.128	1.230	0.394	-0.205	-1.212	-2.144	-2.997	-3.793	-4.452	-5.142	-5.827	-6.470	-7.071	-7.752	-8.093
8195.825911	0.000	8.465	8.212	7.618	7.260	6.596	5.917	5.187	4.619	3.831	3.013	2.025	1.397	0.510	-0.395	-1.301	-2.222	-3.017	-3.731	-4.563	-5.292	-5.739	-6.552	-7.250	-7.829	-8.315	-8.629	-8.943	-9.222	-9.434	-9.581	-9.790	-9.642
8195.826908	0.000	4.254	3.652	2.744	2.109	1.208	0.332	-0.552	-1.231	-2.085	-2.923	-3.888	-4.446	-5.220	-5.967	-6.674	-7.354	-7.869	-8.266	-8.748	-9.094	-9.129	-9.504	-9.742	-9.842	-9.834	-9.642	-9.442	-9.204	-8.898	-8.532	-8.235	-7.594
8195.827906	0.000	-1.607	-2.268	-3.192	-3.797	-4.623	-5.379	-6.101	-6.575	-7.183	-7.737	-8.381	-8.584	-8.970	-9.303	-9.568	-9.786	-9.819	-9.721	-9.695	-9.526	-9.044	-8.902	-8.627	-8.224	-7.724	-7.056	-6.400	-5.729	-5.017	-4.275	-3.633	-2.683
8195.828907	0.000	-6.610	-7.047	-7.710	-8.020	-8.520	-8.919	-9.257	-9.323	-9.503	-9.610	-9.793	-9.525	-9.433	-9.284	-9.067	-8.806	-8.370	-7.811	-7.341	-6.745	-5.857	-5.333	-4.704	-3.976	-3.183	-2.258	-1.381	-0.527	0.328	1.174	1.877	2.846
8195.829904	0.000	-9.616	-9.595	-9.782	-9.599	-9.593	-9.480	-9.301	-8.849	-8.515	-8.116	-7.803	-7.055	-6.502	-5.914	-5.285	-4.639	-3.850	-2.973	-2.222	-1.383	-0.293	0.390	1.135	1.934	2.753	3.659	4.473	5.219	5.922	6.573	7.040	7.734
8195.830898	0.000	-9.003	-8.455	-8.122	-7.433	-6.938	-6.354	-5.730	-4.859	-4.137	-3.383	-2.752	-1.723	-0.930	-0.145	0.638	1.392	2.244	3.136	3.858	4.620	5.587	6.104	6.638	7.185	7.712	8.288	8.736	9.084	9.360	9.558	9.548	9.747
8195.831903	0.000	-5.551	-4.659	-4.013	-3.040	-2.295	-1.497	-0.694	0.315	1.137	1.951	2.602	3.609	4.339	5.023	5.664	6.238	6.874	7.514	7.951	8.396	9.019	9.164	9.304	9.436	9.530	9.661	9.653	9.537	9.347	9.078	8.606	8.349
8195.832904	0.000	-0.210	0.804	1.532	2.544	3.286	4.038	4.752	5.632	6.285	6.889	7.293	8.018	8.433	8.769	9.035	9.208	9.419	9.617	9.594	9.568	9.709	9.368	9.021	8.668	8.283	7.944	7.479	6.923	6.312	5.646	4.802	4.203
8195.833891	0.000	5.453	6.290	6.800	7.553	7.998	8.418	8.766	9.250	9.478	9.635	9.569	9.807	9.722	9.548	9.298	8.953	8.648	8.336	7.812	7.300	6.972	6.182	5.410	4.660	3.909	3.236	2.474	1.659	0.829	-0.015	-0.992	-1.682
8195.834883	0.000	9.037	9.442	9.496	9.772	9.723	9.635	9.467	9.429	9.135	8.771	8.192	7.927	7.352	6.708	6.008	5.239	4.538	3.861	3.007	2.200	1.617	0.613	-0.331	-1.209	-2.044	-2.756	-3.511	-4.273	-5.006	-5.707	-6.499	-6.961
8195.835882	0.000	9.130	9.017	8.557	8.326	7.780	7.211	6.580	6.101	5.391	4.640	3.705	3.118	2.258	1.367	0.462	-0.470	-1.291	-2.044	-2.929	-3.721	-4.245	-5.145	-5.941	-6.629	-7.232	-7.672	-8.118	-8.537	-8.893	-9.189	-9.548	-9.555
8195.836882	0.000	5.939	5.426	4.593	4.019	3.164	2.321	1.452	0.775	-0.092	-0.960	-1.968	-2.585	-3.432	-4.266	-5.072	-5.863	-6.502	-7.032	-7.657	-8.153	-8.347	-8.886	-9.292	-9.565	-9.731	-9.714	-9.688	-9.623	-9.487	-9.286	-9.148	-8.660
8195.837877	0.000	0.155	-0.522	-1.475	-2.122	-3.004	-3.827	-4.628	-5.192	-5.902	-6.566	-7.329	-7.659	-8.181	-8.654	-9.065	-9.431	-9.617	-9.672	-9.801	-9.785	-9.454	-9.460	-9.329	-9.064	-8.696	-8.153	-7.613	-7.049	-6.435	-5.778	-5.211	-4.324
8195.838879	0.000	-5.500	-6.016	-6.766	-7.170	-7.770	-8.275	-8.724	-8.905	-9.202	-9.430	-9.735	-9.588	-9.619	-9.590	-9.491	-9.345	-9.019	-8.566	-8.196	-7.693	-6.892	-6.446	-5.887	-5.220	-4.478	-3.595	-2.748	-1.916	-1.071	-0.225	0.489	1.479
8195.839875	0.000	-9.255	-9.343	-9.640	-9.568	-9.674	-9.671	-9.602	-9.257	-9.027	-8.728	-8.511	-7.853	-7.384	-6.874	-6.314	-5.731	-4.996	-4.164	-3.449	-2.637	-1.564	-0.888	-0.141	0.670	1.510	2.448	3.301	4.096	4.857	5.574	6.114	6.889
8195.840880	0.000	-9.447	-9.002	-8.768	-8.172	-7.766	-7.264	-6.714	-5.911	-5.248	-4.545	-3.956	-2.960	-2.191	-1.419	-0.641	0.118	0.985	1.903	2.659	3.464	4.483	5.061	5.664	6.286	6.896	7.561	8.103	8.551	8.930	9.234	9.334	9.644
8195.841868	0.000	-5.998	-5.133	-4.508	-3.554	-2.823	-2.036	-1.240	-0.233	0.591	1.410	2.071	3.092	3.841	4.546	5.212	5.816	6.483	7.159	7.633	8.118	8.783	8.972	9.158	9.336	9.478	9.657	9.696	9.628	9.485	9.261	8.834	8.620
8195.842865	0.000	-0.393	0.621	1.352	2.367	3.113	3.871	4.592	5.481	6.143	6.758	7.174	7.911	8.339	8.689	8.970	9.158	9.384	9.598	9.591	9.581	9.738	9.413	9.081	8.743	8.372	8.046	7.594	7.050	6.450	5.794	4.959	4.368
8195.843863	0.000	5.403	6.243	6.757	7.514	7.963	8.387	8.740	9.229	9.462	9.624	9.564	9.807	9.727	9.559	9.314	8.974	8.674	8.366	7.847	7.339	7.015	6.229	5.460	4.713	3.964	3.294	2.533	1.719	0.889	0.045	-0.932	-1.622
8195.844857	0.000	9.037	9.442	9.496	9.772	9.723	9.635	9.467	9.429	9.135	8.771	8.192	7.927	7.352	6.708	6.008	5.239	4.538	3.861	3.007	2.200	1.617	0.613	-0.331	-1.209	-2.044	-2.756	-3.511	-4.273	-5.006	-5.707	-6.499	-6.961
